Country,Year,Gender ratio,Education level,Percentage women
0,1995,0.91,0,1995
0,2005,0.95,0,2005
0,2010,0.97,0,2010
0,2015,1.0,0,2015
0,2018,0.98,0,2018
0,2019,0.98,0,2019
0,2020,0.98,0,2020
0,1995,0.88,0,1995
0,2015,0.99,0,2015
0,2018,0.99,0,2018
0,2019,0.99,0,2019
0,2020,0.99,0,2020
0,1995,0.85,0,1995
0,2005,0.94,0,2005
0,2010,0.96,0,2010
0,2015,0.98,0,2015
15,1995,0.86,15,1995
15,2005,0.93,15,2005
15,2010,0.95,15,2010
15,2015,0.97,15,2015
15,2018,0.97,15,2018
15,2019,0.98,15,2019
15,2020,0.98,15,2020
15,2005,0.99,15,2005
15,2010,0.98,15,2010
15,2015,0.99,15,2015
15,2018,1.0,15,2018
15,2019,1.01,15,2019
15,2020,1.01,15,2020
15,1995,0.92,15,1995
15,2005,1.07,15,2005
15,2010,1.07,15,2010
15,2015,1.06,15,2015
15,2018,1.07,15,2018
15,2019,1.09,15,2019
15,2020,1.1,15,2020
202,1995,0.84,202,1995
202,2005,0.88,202,2005
202,2010,0.93,202,2010
202,2015,0.96,202,2015
202,2018,0.96,202,2018
202,2019,0.96,202,2019
202,2020,0.96,202,2020
202,1995,0.8,202,1995
202,2005,0.78,202,2005
202,2010,0.82,202,2010
202,2015,0.86,202,2015
202,2018,0.89,202,2018
202,2019,0.89,202,2019
202,2020,0.89,202,2020
202,2010,0.78,202,2010
202,2015,0.81,202,2015
202,2018,0.84,202,2018
202,2019,0.85,202,2019
202,2020,0.86,202,2020
21,1995,0.99,21,1995
21,2005,0.99,21,2005
21,2010,1.0,21,2010
21,2015,1.0,21,2015
21,2018,1.0,21,2018
21,2019,1.01,21,2019
21,2020,1.01,21,2020
21,1995,1.01,21,1995
21,2005,1.01,21,2005
21,2010,1.01,21,2010
21,2015,1.01,21,2015
21,2018,0.99,21,2018
21,2019,0.99,21,2019
21,2020,0.99,21,2020
21,1995,1.04,21,1995
21,2005,1.05,21,2005
21,2010,1.02,21,2010
21,2015,1.02,21,2015
21,2019,0.98,21,2019
21,2020,0.98,21,2020
419,1995,0.97,419,1995
419,2005,0.97,419,2005
419,2010,0.97,419,2010
419,2015,0.98,419,2015
419,2018,0.99,419,2018
419,2019,0.98,419,2019
419,2020,0.99,419,2020
419,1995,1.07,419,1995
419,2005,1.07,419,2005
419,2010,1.08,419,2010
419,2015,1.05,419,2015
419,2018,1.04,419,2018
419,2019,1.05,419,2019
419,2020,1.05,419,2020
419,2005,1.12,419,2005
419,2010,1.16,419,2010
419,2015,1.11,419,2015
419,2018,1.1,419,2018
419,2019,1.1,419,2019
419,2020,1.09,419,2020
143,1995,0.98,143,1995
143,2005,0.99,143,2005
143,2010,0.99,143,2010
143,2015,0.99,143,2015
143,2018,0.99,143,2018
143,2019,0.99,143,2019
143,2020,0.99,143,2020
143,1995,1.0,143,1995
143,2005,0.96,143,2005
143,2010,0.98,143,2010
143,2018,0.98,143,2018
143,2020,0.98,143,2020
143,2005,0.98,143,2005
143,2010,1.0,143,2010
143,2015,1.01,143,2015
143,2019,1.0,143,2019
30,1995,0.95,30,1995
30,2005,1.0,30,2005
30,2010,0.98,30,2010
30,2015,1.0,30,2015
30,2018,1.01,30,2018
30,2019,1.01,30,2019
30,2020,1.01,30,2020
30,1995,0.89,30,1995
30,2005,0.98,30,2005
30,2010,1.0,30,2010
30,2015,1.02,30,2015
30,2018,1.02,30,2018
30,2019,1.02,30,2019
30,2020,1.02,30,2020
30,1995,0.88,30,1995
30,2010,0.99,30,2010
30,2015,1.04,30,2015
30,2018,1.04,30,2018
30,2019,1.03,30,2019
30,2020,1.03,30,2020
35,1995,0.97,35,1995
35,2005,0.97,35,2005
35,2010,1.0,35,2010
35,2015,0.97,35,2015
35,2018,0.98,35,2018
35,2019,0.98,35,2019
35,2020,0.98,35,2020
35,1995,0.93,35,1995
35,2005,1.0,35,2005
35,2010,1.01,35,2010
35,2015,1.01,35,2015
35,2018,1.03,35,2018
35,2019,1.03,35,2019
35,2020,1.03,35,2020
35,2005,0.98,35,2005
35,2010,0.98,35,2010
35,2018,1.05,35,2018
35,2019,1.05,35,2019
35,2020,1.05,35,2020
34,1995,0.82,34,1995
34,2005,0.96,34,2005
34,2010,1.0,34,2010
34,2015,1.06,34,2015
34,2018,0.99,34,2018
34,2019,0.99,34,2019
34,2020,1.0,34,2020
34,1995,0.67,34,1995
34,2005,0.86,34,2005
34,2010,0.93,34,2010
34,2015,1.0,34,2015
34,2018,1.0,34,2018
34,2019,1.01,34,2019
34,2020,0.99,34,2020
34,1995,0.49,34,1995
34,2005,0.81,34,2005
34,2010,0.9,34,2010
34,2015,0.95,34,2015
34,2018,0.97,34,2018
34,2019,0.98,34,2019
34,2020,0.95,34,2020
145,1995,0.88,145,1995
145,2005,0.91,145,2005
145,2010,0.93,145,2010
145,2015,0.94,145,2015
145,2018,0.94,145,2018
145,2019,0.94,145,2019
145,2020,0.94,145,2020
145,1995,0.75,145,1995
145,2005,0.86,145,2005
145,2010,0.91,145,2010
145,2019,0.92,145,2019
145,2020,0.93,145,2020
145,1995,0.68,145,1995
145,2005,0.84,145,2005
145,2010,0.9,145,2010
145,2015,0.93,145,2015
145,2018,0.93,145,2018
145,2019,0.9,145,2019
145,2020,0.91,145,2020
150,1995,0.99,150,1995
150,2005,0.99,150,2005
150,2010,0.99,150,2010
150,2015,1.0,150,2015
150,2018,1.0,150,2018
150,2019,1.0,150,2019
150,2020,1.0,150,2020
150,1995,1.02,150,1995
150,2005,1.0,150,2005
150,2018,0.99,150,2018
150,1995,1.04,150,1995
150,2005,1.01,150,2005
9,1995,0.97,9,1995
9,2005,0.98,9,2005
9,2010,0.97,9,2010
9,2015,0.97,9,2015
9,2018,0.98,9,2018
9,2019,0.97,9,2019
9,2020,0.98,9,2020
9,1995,0.99,9,1995
9,2005,0.97,9,2005
9,2010,0.93,9,2010
9,2015,0.89,9,2015
9,2018,0.94,9,2018
9,2019,0.94,9,2019
9,2020,0.94,9,2020
9,2005,0.95,9,2005
9,2010,0.92,9,2010
9,2015,0.88,9,2015
9,2018,0.99,9,2018
9,2019,0.96,9,2019
9,2020,0.96,9,2020
4,1995,0.52,4,1995
4,2005,0.58,4,2005
4,2010,0.68,4,2010
4,2015,0.68,4,2015
4,2018,0.67,4,2018
4,2019,0.67,4,2019
4,1995,0.38,4,1995
4,2005,0.33,4,2005
4,2010,0.5,4,2010
4,2015,0.56,4,2015
4,2018,0.57,4,2018
4,2005,0.28,4,2005
4,2010,0.42,4,2010
4,2015,0.52,4,2015
4,2018,0.54,4,2018
8,1995,0.97,8,1995
8,2005,1.01,8,2005
8,2010,1.01,8,2010
8,2015,1.03,8,2015
8,2018,1.04,8,2018
8,2019,1.03,8,2019
8,2020,1.03,8,2020
8,1995,0.99,8,1995
8,2005,0.97,8,2005
8,2015,0.96,8,2015
8,2018,1.01,8,2018
8,2019,1.01,8,2019
8,2020,1.02,8,2020
8,2005,0.91,8,2005
8,2010,0.97,8,2010
8,2015,0.9,8,2015
8,2018,0.97,8,2018
8,2019,0.98,8,2019
8,2020,1.01,8,2020
12,1995,0.88,12,1995
12,2005,0.93,12,2005
12,2010,0.94,12,2010
12,2015,0.95,12,2015
12,2018,0.96,12,2018
12,2019,0.96,12,2019
12,2020,0.97,12,2020
12,1995,0.89,12,1995
12,2005,1.1,12,2005
12,2010,1.04,12,2010
12,1995,1.03,12,1995
12,2005,1.48,12,2005
12,2010,1.42,12,2010
24,2010,0.8,24,2010
24,2015,0.87,24,2015
24,2010,0.68,24,2010
24,2010,0.56,24,2010
660,2005,1.02,660,2005
660,2010,0.96,660,2010
660,2019,0.99,660,2019
660,2005,0.99,660,2005
660,2010,0.99,660,2010
660,2019,0.97,660,2019
660,2010,1.1,660,2010
660,2019,0.95,660,2019
28,2010,0.92,28,2010
28,2015,0.97,28,2015
28,2018,0.99,28,2018
28,2010,1.05,28,2010
28,2015,1.02,28,2015
28,2018,0.96,28,2018
28,2010,1.53,28,2010
28,2015,1.15,28,2015
28,2018,1.13,28,2018
32,2005,0.99,32,2005
32,2010,0.99,32,2010
32,2015,1.0,32,2015
32,2018,1.0,32,2018
32,2019,1.0,32,2019
32,2005,1.09,32,2005
32,2010,1.1,32,2010
32,2015,1.06,32,2015
32,2018,1.04,32,2018
32,2019,1.04,32,2019
32,2005,1.16,32,2005
32,2010,1.2,32,2010
32,2015,1.15,32,2015
32,2018,1.12,32,2018
32,2019,1.1,32,2019
51,1995,1.02,51,1995
51,2005,1.02,51,2005
51,2010,1.03,51,2010
51,2015,1.02,51,2015
51,2018,1.0,51,2018
51,2019,1.01,51,2019
51,2020,1.01,51,2020
51,2010,0.98,51,2010
51,2015,1.05,51,2015
51,2018,1.04,51,2018
51,2019,1.05,51,2019
51,2020,1.04,51,2020
51,2010,0.96,51,2010
51,2015,1.11,51,2015
51,2018,1.08,51,2018
51,2019,1.12,51,2019
51,2020,1.1,51,2020
533,2005,0.94,533,2005
533,2010,0.99,533,2010
533,2005,1.0,533,2005
533,2010,1.05,533,2010
533,2005,1.13,533,2005
533,2010,1.16,533,2010
36,1995,1.0,36,1995
36,2005,1.02,36,2005
36,2010,1.0,36,2010
36,2015,1.0,36,2015
36,2018,1.0,36,2018
36,2019,1.0,36,2019
36,2015,0.87,36,2015
36,2018,0.94,36,2018
36,2019,0.93,36,2019
36,1995,0.97,36,1995
36,2015,0.85,36,2015
36,2018,0.96,36,2018
40,1995,0.99,40,1995
40,2005,1.0,40,2005
40,2010,0.99,40,2010
40,2015,0.99,40,2015
40,2018,0.99,40,2018
40,2019,0.99,40,2019
40,1995,0.94,40,1995
40,2005,0.95,40,2005
40,2010,0.96,40,2010
40,2015,0.96,40,2015
40,2018,0.96,40,2018
40,2019,0.97,40,2019
40,1995,0.88,40,1995
40,2005,0.91,40,2005
40,2010,0.93,40,2010
40,2015,0.94,40,2015
40,2018,0.93,40,2018
40,2019,0.95,40,2019
31,1995,1.12,31,1995
31,2005,0.95,31,2005
31,2010,0.99,31,2010
31,2015,0.98,31,2015
31,2018,1.01,31,2018
31,2019,1.03,31,2019
31,2020,1.04,31,2020
31,1995,1.02,31,1995
31,2018,1.0,31,2018
31,2019,1.0,31,2019
31,2020,0.98,31,2020
31,1995,0.88,31,1995
31,2018,1.03,31,2018
31,2019,1.01,31,2019
31,2020,0.95,31,2020
44,1995,1.0,44,1995
44,2005,0.97,44,2005
44,2005,0.99,44,2005
44,2010,1.04,44,2010
44,2005,1.05,44,2005
44,2010,1.07,44,2010
48,1995,1.01,48,1995
48,2005,1.04,48,2005
48,2015,1.01,48,2015
48,2018,0.99,48,2018
48,2019,0.99,48,2019
48,1995,1.04,48,1995
48,2005,1.11,48,2005
48,2010,1.01,48,2010
48,2015,0.99,48,2015
48,2018,1.06,48,2018
48,2019,1.09,48,2019
48,2005,1.19,48,2005
48,2010,1.05,48,2010
48,2015,1.03,48,2015
48,2018,1.05,48,2018
48,2019,1.12,48,2019
50,2005,1.05,50,2005
50,2010,1.06,50,2010
50,2018,1.07,50,2018
50,2020,1.09,50,2020
50,2005,1.07,50,2005
50,2010,1.12,50,2010
50,2015,1.13,50,2015
50,2018,1.16,50,2018
50,2019,1.17,50,2019
50,2020,1.21,50,2020
50,2005,0.97,50,2005
50,2010,0.97,50,2010
50,2015,0.99,50,2015
50,2018,1.04,50,2018
50,2019,1.06,50,2019
50,2020,1.12,50,2020
52,2005,1.0,52,2005
52,2010,1.02,52,2010
52,2015,0.99,52,2015
52,2018,0.96,52,2018
52,2019,0.96,52,2019
52,2020,0.97,52,2020
52,2005,0.99,52,2005
