Country,Year,Gender ratio,Education level,Percentage women
Northern Africa,2005,0.93,Ratio of girls to boys in primary education,10.8
Northern Africa,2005,0.99,Ratio of girls to boys in secondary education,10.8
Northern Africa,2005,1.07,Ratio of girls to boys in upper secondary education,10.8
Northern Africa,2010,0.95,Ratio of girls to boys in primary education,13.2
Northern Africa,2010,0.98,Ratio of girls to boys in secondary education,13.2
Northern Africa,2010,1.07,Ratio of girls to boys in upper secondary education,13.2
Northern Africa,2015,0.97,Ratio of girls to boys in primary education,24.6
Northern Africa,2015,0.99,Ratio of girls to boys in secondary education,24.6
Northern Africa,2015,1.06,Ratio of girls to boys in upper secondary education,24.6
Northern Africa,2018,0.97,Ratio of girls to boys in primary education,22.6
Northern Africa,2018,1.0,Ratio of girls to boys in secondary education,22.6
Northern Africa,2018,1.07,Ratio of girls to boys in upper secondary education,22.6
Northern Africa,2019,0.98,Ratio of girls to boys in primary education,22.7
Northern Africa,2019,1.01,Ratio of girls to boys in secondary education,22.7
Northern Africa,2019,1.09,Ratio of girls to boys in upper secondary education,22.7
Northern Africa,2020,0.98,Ratio of girls to boys in primary education,20.1
Northern Africa,2020,1.01,Ratio of girls to boys in secondary education,20.1
Northern Africa,2020,1.1,Ratio of girls to boys in upper secondary education,20.1
Sub-Saharan Africa,2005,0.88,Ratio of girls to boys in primary education,14.4
Sub-Saharan Africa,2005,0.78,Ratio of girls to boys in secondary education,14.4
Sub-Saharan Africa,2005,0.78,Ratio of girls to boys in upper secondary education,14.4
Sub-Saharan Africa,2010,0.93,Ratio of girls to boys in primary education,18.4
Sub-Saharan Africa,2010,0.82,Ratio of girls to boys in secondary education,18.4
Sub-Saharan Africa,2010,0.78,Ratio of girls to boys in upper secondary education,18.4
Sub-Saharan Africa,2015,0.96,Ratio of girls to boys in primary education,22.6
Sub-Saharan Africa,2015,0.86,Ratio of girls to boys in secondary education,22.6
Sub-Saharan Africa,2015,0.81,Ratio of girls to boys in upper secondary education,22.6
Sub-Saharan Africa,2018,0.96,Ratio of girls to boys in primary education,23.6
Sub-Saharan Africa,2018,0.89,Ratio of girls to boys in secondary education,23.6
Sub-Saharan Africa,2018,0.84,Ratio of girls to boys in upper secondary education,23.6
Sub-Saharan Africa,2019,0.96,Ratio of girls to boys in primary education,23.9
Sub-Saharan Africa,2019,0.89,Ratio of girls to boys in secondary education,23.9
Sub-Saharan Africa,2019,0.85,Ratio of girls to boys in upper secondary education,23.9
Sub-Saharan Africa,2020,0.96,Ratio of girls to boys in primary education,24.3
Sub-Saharan Africa,2020,0.89,Ratio of girls to boys in secondary education,24.3
Sub-Saharan Africa,2020,0.86,Ratio of girls to boys in upper secondary education,24.3
Northern America,2005,0.99,Ratio of girls to boys in primary education,17.5
Northern America,2005,1.01,Ratio of girls to boys in secondary education,17.5
Northern America,2005,1.05,Ratio of girls to boys in upper secondary education,17.5
Northern America,2010,1.0,Ratio of girls to boys in primary education,19.0
Northern America,2010,1.01,Ratio of girls to boys in secondary education,19.0
