Fac Building Key,Building Number,Parent Building Number,Parent Building Name,Parent Building Name Long,Building Name Long,Ext Gross Area,Assignable Area,Non Assignable Area,Site,Campus Sector,Access Level Code,Access Level Name,Building Type,Ownership Type,Building Use,Occupancy Class,Building Height,Cost Center Code,Cost Collector Key,Latitude Wgs,Longitude Wgs,Easting X Spcs,Northing Y Spcs,Building Sort,Building Named For,Building Name,Date Built,Date Acquired,Date Occupied,Warehouse Load Date,Num Of Rooms
3,3,"","","",Richard Cockburn MacLaurin Buildings (3),"160,124.08","103,996.2","40,872.88",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,85.50,1810300,1810300,42.35901,-71.0924,"766,332.16672","2,956,114.49102",03,R. C. MACLAURIN,MACLAURIN BUILDINGS (3),07/01/1913,"",12/31/1916,01/08/16 05:13 AM,547
50,50,"","","",Walker Memorial,"73,703.27","46,456.73","20,716.29",MIT,MAIN GROUP,2.00,2,SERVICE,OWNED,STAC,UGA3,80.50,1342002,1342002,42.35936,-71.08832,"767,433.66957","2,956,249.32499",50,FRANCIS AMASA WALKER,WALKER MEMORIAL,01/01/1916,"",09/01/1917,01/08/16 05:13 AM,199
7,7,"","","",William Barton Rogers Building,"100,553.38","50,488.32","36,744.91",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGA3B,103.70,1810700,1810700,42.35929,-71.09319,"766,118.33409","2,956,216.3449",07,WILLIAM BARTON ROGERS,WILLIAM BARTON ROGERS BUILDING,05/01/1937,"",12/31/1938,01/08/16 05:13 AM,325
E1,E1,"","","",Gray House (Formerly President's House),"18,642.53","11,190.61","4,967.95",MIT,EAST,1.00,1,RESIDENT,OWNED,AER,UGR4,52.00,1820100,1820100,42.3596,-71.08696,"767,799.54882","2,956,338.58766",E01,-,GRAY HOUSE,07/01/1913,"",07/01/1917,01/08/16 05:13 AM,139
14S,14S,14,HAYDEN MEMORIAL LIBRARY,Charles Hayden Memorial Library,Charles Hayden Memorial Library (South Wing),"48,622.24","34,500.48","10,286.49",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),"","","","","","","",14S,CHARLES HAYDEN,HAYDEN MEMORIAL LIBRARY (S),05/21/2015,"","",01/08/16 05:13 AM,119
33,33,"","","",Daniel Guggenheim Aeronautical Laboratory,"55,046.17","36,106.19","13,256.26",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,56.50,1813300,1813300,42.36018,-71.09375,"765,965.67766","2,956,539.64728",33,DANIEL GUGGENHEIM,GUGGENHEIM LABORATORY,04/01/1927,"",07/01/1928,01/08/16 05:13 AM,169
34,34,"","","",EG&G Education Center,"26,966.05","14,686.51","9,130.02",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGA3,81.30,1813400,1813400,42.36114,-71.09195,"766,449.0276","2,956,891.75916",34,"HAROLD E. EDGERTON, KENNETH H. GERMESHAUSEN, HERBERT E. GRIER",EG&G EDUCATION CENTER,12/31/1982,"",12/31/1983,01/08/16 05:13 AM,62
38,38,"","","",Fairchild Buildings (38),"84,329.46","56,162.59","19,888.56",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,91.40,1813800,1813800,42.36107,-71.09235,"766,341.43468","2,956,867.80466",38,SHERMAN M. FAIRCHILD,FAIRCHILD BUILDING (38),04/12/1971,"",10/01/1973,01/08/16 05:13 AM,328
68,68,"","","",David H. Koch Biology Building,"260,390.37","155,115.84","81,508.71",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,104.80,1816800,1816800,42.36162,-71.08864,"767,343.49146","2,957,072.22739",68,-,KOCH BIOLOGY BUILDING,04/01/1991,"",10/07/1994,01/08/16 05:13 AM,971
E17,E17,"","","",Seely G Mudd Building,"83,518.04","54,118.17","21,512.29",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBA3,82.80,1821700,1821700,42.36148,-71.08789,"767,547.05603","2,957,023.1827",E17,SEELY G. MUDD,MUDD BUILDING,12/31/1932,"",03/06/1975,01/08/16 05:13 AM,341
E34,E34,"","","",Building E34,"27,424.07","15,923.57","8,443.21",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGB,56.60,1823400,1823400,42.36145,-71.08595,"768,069.70518","2,957,013.06728",E34,-,BUILDING E34,12/31/1924,04/30/1982,03/01/1975,01/08/16 05:13 AM,168
E53,E53,"","","",Grover M Hermann Building,"95,445.1","63,274.76","25,295.16",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGA3,72.20,1825300,1825300,42.36119,-71.08359,"768,708.09015","2,956,920.87263",E53,GROVER MARTIN HERMANN,HERMANN BUILDING,01/01/1964,"",10/01/1965,01/08/16 05:13 AM,288
E70,E70,"","","",Badger Building,"36,794.62","26,289.14",0,MIT,EAST,2.00,2,SERVICE,LEASED,OTH,UGB,226.70,1827000,1827000,42.36275,-71.08346,"768,740.19956","2,957,489.92339",E70,-,BADGER BUILDING,"","",10/01/1995,01/08/16 05:13 AM,141
NE48,NE48,"","","",700 Technology Square,"12,657.31","10,379.88",797.4,MIT,NORTHEAST,2.00,2,ACADEMIC,LEASED,AER,(NULL),84.40,1854800,1854800,42.36403,-71.09273,"766,234.21735","2,957,945.00622",NE48,-,700 TECHNOLOGY SQUARE,"","","",01/08/16 05:13 AM,75
NW20,NW20,"","","",Albany Street Generator Shelter,"5,784.7","5,291.98",0,MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGF1,28.00,1842000,1842000,42.35928,-71.09847,"764,691.4041","2,956,207.36971",NW20,-,ALBANY ST GENERATOR SHELTER,"","","",01/08/16 05:13 AM,10
NW22,NW22,"","","",Plasma Science And Fusion Center (NW22),"48,989.17","39,224.66","5,633.88",MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGB,33.70,1842200,1842200,42.35964,-71.09972,"764,351.12835","2,956,335.31199",NW22,-,PLASMA SCIENCE & FUSION CENTER (NW22),"","",01/17/1992,01/08/16 05:13 AM,157
W11,W11,"","","",Religious Activities Center,"13,590.41","7,922.29","4,152.3",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGB,16.40,1831100,1831100,42.35826,-71.09354,"766,025.78985","2,955,841.21883",W11,-,RELIGIOUS ACTIVITIES CENTER,12/31/1936,02/01/1966,01/01/1967,01/08/16 05:13 AM,63
OC19N,OC19N,"","","",BATES LINAC: Warehouse #3,"8,141.95","7,683.4",143.22,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19N,-,BATES LINAC: WAREHOUSE #3,"","","",01/08/16 05:13 AM,13
