Building Address Key,Building Key,Address Purpose,Address City Id,Is E911 Address,Street Number,Street Number Suffix,Pre Directional,Street Name,Street Suffix,Post Directional,City,State,Postal Code,Warehouse Load Date
1-E911_1,1,E911_1,26019,"",33,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
1-MAIL,1,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
1-PARCL1,1,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
1-STREET,1,STREET,26019,"",33,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
2-E911_1,2,E911_1,710,"",182,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
2-MAIL,2,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
2-PARCL1,2,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
2-STREET,2,STREET,710,"",182,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
3-E911_1,3,E911_1,31037,"",33,R,"",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
3-MAIL,3,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
3-PARCL1,3,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
3-STREET,3,STREET,"","",33,"","",MASSACHUSETTS,AVE,(Rear),CAMBRIDGE,MA,02139,01/08/16 05:13 AM
4-E911_1,4,E911_1,31039,"",182,R,"",MEMORIAL,DR,"",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
4-MAIL,4,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
4-PARCL1,4,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
4-STREET,4,STREET,"","",182,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02142,01/08/16 05:13 AM
5-E911_1,5,E911_1,707,"",55,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
5-MAIL,5,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
5-PARCL1,5,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
5-STREET,5,STREET,707,"",55,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
6-E911_1,6,E911_1,31039,"",182,R,"",MEMORIAL,DR,"",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
6-MAIL,6,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
6-PARCL1,6,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
6-STREET,6,STREET,"","",182,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02142,01/08/16 05:13 AM
6B-E911_1,6B,E911_1,31039,"",182,R,"",MEMORIAL,DR,"",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
6B-MAIL,6B,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
6B-PARCL1,6B,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
6B-STREET,6B,STREET,"","",182,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02142,01/08/16 05:13 AM
6C-E911_1,6C,E911_1,31039,"",182,R,"",MEMORIAL,DR,"",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
6C-MAIL,6C,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
6C-STREET,6C,STREET,"","",182,"","",MEMORIAL,DR,(Rear),CAMBRIDGE,MA,02142,01/08/16 05:13 AM
7-E911_1,7,E911_1,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
7-MAIL,7,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
7-PARCL1,7,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
7-STREET,7,STREET,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
7A-E911_1,7A,E911_1,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
7A-MAIL,7A,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,01/08/16 05:13 AM
7A-PARCL1,7A,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,01/08/16 05:13 AM
