Building Key,Floor2,Floor Key,Ext Gross Area,Assignable Area,Non Assignable Area,Floor Sort Sequence,Level Id,Building Wings Id,Access Level,Warehouse Load Date
1,0,1-0,"29,760.11","19,247.23","7,392.19",0,0,"",2,01/08/16 05:13 AM
1,1,1-1,"28,011.87","18,584.73","6,891.32",1,1,"",2,01/08/16 05:13 AM
1,2,1-2,"28,092.69","18,899.32","6,612.85",2,2,"",2,01/08/16 05:13 AM
1,3,1-3,"28,150.59","19,395.66","5,907.66",3,3,"",2,01/08/16 05:13 AM
1,4,1-4,"2,224.11",0,"1,946.61",4,4,"",3,01/08/16 05:13 AM
2,0,2-0,"30,809.31","16,123.27","12,122.01",0,0,"",2,01/08/16 05:13 AM
2,1,2-1,"27,893.61","18,024.62","7,092.06",1,1,"",2,01/08/16 05:13 AM
2,2,2-2,"28,024.91","18,461.6","6,894.43",2,2,"",2,01/08/16 05:13 AM
2,3,2-3,"27,865","18,985.23","6,238.58",3,3,"",2,01/08/16 05:13 AM
2,4,2-4,"5,708.2","1,671.89","3,321.82",4,4,"",2,01/08/16 05:13 AM
2,5,2-5,"1,348.74",756.48,131.19,5,5,"",2,01/08/16 05:13 AM
3,0,3-0,"34,988.41","22,067.85","9,648.8",0,0,"",2,01/08/16 05:13 AM
3,1,3-1,"31,498.94","19,966.18","8,716.7",1,1,"",2,01/08/16 05:13 AM
3,2,3-2,"31,176.11","20,685.14","7,484.07",2,2,"",2,01/08/16 05:13 AM
3,3,3-3,"30,133.82","20,247.12","7,116.58",3,3,"",2,01/08/16 05:13 AM
3,4,3-4,"32,326.8","21,029.91","7,906.73",4,4,"",2,01/08/16 05:13 AM
4,0,4-0,"33,439.69","18,361.44","11,200.72",0,0,"",2,01/08/16 05:13 AM
4,1,4-1,"31,429.76","19,393.48","8,929.5",1,1,"",2,01/08/16 05:13 AM
4,2,4-2,"30,792.8","19,277.68","7,935.74",2,2,"",2,01/08/16 05:13 AM
4,3,4-3,"30,670.33","18,410.3","8,786.52",3,3,"",2,01/08/16 05:13 AM
4,4,4-4,"31,950.2","24,077.12","4,916.31",4,4,"",2,01/08/16 05:13 AM
4,5,4-5,"4,331.38",0,"3,925.14",5,5,"",2,01/08/16 05:13 AM
5,0,5-0,"16,492.6","10,163.2","4,022.5",0,0,"",2,01/08/16 05:13 AM
5,1,5-1,"16,444.15","10,950.42","3,527.74",1,1,"",2,01/08/16 05:13 AM
5,2,5-2,"16,369.06","11,687.48","3,045.01",2,2,"",2,01/08/16 05:13 AM
5,3,5-3,"16,369.19","11,189.89","3,541.8",3,3,"",2,01/08/16 05:13 AM
