Organization Key,Organization Id,Organization,Organization Name,Org Parent Key,Org Parent,Major Org Key,Major Org,Organization Level,Organization Number,Organization Sort,Assignable,Course,Description,Warehouse Load Date,D Code,Hr Department Code Old,Hr Org Unit Id,Hr Department Name
101,101,A/VSVC,AUDIO-VISUAL SVC,129,ENTSVC,CHNCLR,874100,6,874100,0101030309,1,"","",01/08/16 05:13 AM,D_AVS,874100,10000917,Audio Visual Services
102,102,ACT,ART CULT & TECH,230,SAP,PROVST,038000,5,038000,0101060034,1,"","",01/08/16 05:13 AM,D_ACT,038000,10000276,"Program in Art, Culture and Technology"
115,115,BCS,BRAIN & COG SCI,230,S SCI,PROVST,154500,5,154500,0101060168,1,9,"",01/08/16 05:13 AM,D_B&CS,154500,10000535,Brain & Cognitive Sciences
116,116,BEDEP,BIOENG DEPT,230,S ENG,PROVST,069200,5,069200,0101060060,1,BE,"",01/08/16 05:13 AM,D_BIOENG,069200,10000347,Department of Biological Engineering
119,119,CAES,C FOR ADV EDU SV,230,OFPROV,PROVST,405100,5,405100,0101060027,1,CAES,"",01/08/16 05:13 AM,D_CAES,405100,10000624,Center for Advanced Educational Services
174,174,HUMAN,HUMANITIES,230,S H&SS,PROVST,093000,5,090000,0101060144,1,21,"",01/08/16 05:13 AM,D_DHSS,090000,10000357,"School of Humanities, Arts, & Social Sci"
186,186,LGO-SDM,LDRS GBL OPS-SYS DSN MGMT,230,S ENG,PROVST,170000,5,170000,0101060108,1,"",Leaders for Global Operations-Systems Design Management,01/08/16 05:13 AM,D_LGO,170000,10000554,Leaders for Global Operations Program
189,189,LIBRAR,LIBRARIES,230,DIRLIB,PROVST,271000,5,271000,0101060018,1,"","",01/08/16 05:13 AM,D_LIBRARIES,271000,10000579,Libraries
195,195,LNS,LAB FOR NUCL SCI,230,S SCI,PROVST,159900,5,159900,0101060189,1,"","",01/08/16 05:13 AM,D_LNS,159900,10000547,Laboratory for Nuclear Science
197,197,MATH,MATHEMATICS,230,S SCI,PROVST,154000,5,154000,0101060192,1,18,"",01/08/16 05:13 AM,D_MATHS,154000,10000533,Mathematics
200,200,MEDIA,MEDIA LABORATORY,230,SAP,PROVST,039000,5,039000,0101060045,1,"","",01/08/16 05:13 AM,D_MEDIA,039000,10000277,Media Laboratory
201,201,MEDICL,MEDICAL DEPT,163,VP-HUM,EXECVP,495000,5,495000,0101030667,1,"","",01/08/16 05:13 AM,D_MEDICAL,495000,10000792,Medical
208,208,NSE,NUCLEAR SCI & ENG,230,S ENG,PROVST,068000,5,068000,0101060126,1,22,"",01/08/16 05:13 AM,D_NUCENG,068000,10000331,Nuclear Science and Engineering
211,211,OFPROV,OFF OF PROVOST,230,PROVST,PROVST,401800,4,401800,0101060024,1,"","",01/08/16 05:13 AM,D_PROVOST,401800,10000603,Office of the Provost
212,212,OFS,OFF FACULTY SUPPORT,129,DUE,CHNCLR,445000,5,445000,0101030409,1,"","",01/08/16 05:13 AM,D_OFS,445000,10002635,Office of Faculty Support
219,219,PHYSIC,PHYSICS,230,S SCI,PROVST,158000,5,158000,0101060195,1,8,"",01/08/16 05:13 AM,D_PHYSICS,158000,10000536,Physics
222,222,POLICE,CAMPUS POLICE,163,EXECVP,EXECVP,492900,4,492900,0101030609,1,"","",01/08/16 05:13 AM,D_POLICE,492900,10000791,MIT POLICE
225,225,PRESS,MIT PRESS,230,DIRLIB,PROVST,875000,5,875000,0101060021,1,"","",01/08/16 05:13 AM,D_PRESS,875000,10000919,MIT Press
228,228,PROPTY,PROPERTY OFFICE,163,VP-FIN,EXECVP,406800,5,406800,0101030616,1,"","",01/08/16 05:13 AM,D_PROPERTY,406800,10000651,Property Office
240,240,ROTC-A,ROTC-AEROSPACE,129,DUE,CHNCLR,187100,5,187100,0101030418,1,"","",01/08/16 05:13 AM,D_ROTC,187100,10000556,Aerospace Studies
247,247,SAP,SCH OF ARCH & PL,230,PROVST,PROVST,030000,4,030000,0101060033,1,"","",01/08/16 05:13 AM,D_DEANARCH,030000,10000267,School of Architecture & Planning
251,251,SSRCTR,SOCIOTECH SYS RSCH CTR,230,S ENG,PROVST,069400,5,069400,0101060072,1,"",MIT Socio-technical Systems Research Center,01/08/16 05:13 AM,D_SSRC,069400,10000349,Sociotechnical Systems Research Center
253,253,ST&S,SCI TECH&SOCIETY,230,S H&SS,PROVST,097000,5,097000,0101060153,1,STS,"",01/08/16 05:13 AM,D_STS,097000,10000370,"Prog in Science, Technology, & Society"
271,271,ZORG,ZORG ICR ONLY,271,PRES,ZORG,"",3,"",0101120000,1,"","",01/08/16 05:13 AM,"","","",""
103,103,ADMISS,ADMISSIONS,129,DUE,CHNCLR,446100,5,446100,0101030402,1,"","",01/08/16 05:13 AM,D_ADM,446100,10000755,Admissions Office
