tid;relationship;related_tid;targrel_id
10193;SUBSET OF;104764;35928
12071;SUBSET OF;107894;35931
12071;SUBSET OF;107893;35932
12071;SUBSET OF;104296;35933
12071;SUBSET OF;109746;35934
12071;SUBSET OF;104709;35935
10569;SUBSET OF;104690;35936
10569;SUBSET OF;104749;35937
10569;SUBSET OF;104871;35938
10639;SUBSET OF;105709;35943
12839;SUBSET OF;104828;35944
12502;SUBSET OF;105099;35945
247;SUBSET OF;104833;35946
179;SUBSET OF;104726;35947
42;SUBSET OF;104868;35948
42;SUBSET OF;104788;35949
54;SUBSET OF;105737;35950
227;SUBSET OF;104841;35951
227;SUBSET OF;104992;35952
227;SUBSET OF;104784;35953
34;SUBSET OF;104798;35954
34;SUBSET OF;104293;35956
34;SUBSET OF;108134;35957
34;SUBSET OF;105103;35958
34;SUBSET OF;104936;35959
34;SUBSET OF;108124;35960
12786;SUBSET OF;104951;35961
12376;SUBSET OF;104902;35962
30;SUBSET OF;109700;35964
51;SUBSET OF;104984;35965
51;SUBSET OF;104841;35966
280;SUBSET OF;104779;35967
280;SUBSET OF;105024;35968
280;SUBSET OF;104790;35969
280;SUBSET OF;104806;35970
244;SUBSET OF;105036;35971
129;SUBSET OF;104765;35972
129;SUBSET OF;104734;35973
129;SUBSET OF;108398;35974
129;SUBSET OF;104741;35975
100;SUBSET OF;104870;35977
100;SUBSET OF;105759;35978
100;SUBSET OF;105045;35979
10209;SUBSET OF;104841;35982
13024;SUBSET OF;104938;35983
10809;SUBSET OF;105736;35984
10709;SUBSET OF;105094;35985
11579;SUBSET OF;105739;35987
11579;SUBSET OF;104823;35988
11942;SUBSET OF;105070;35989
12854;SUBSET OF;104713;35990
12854;SUBSET OF;105078;35991
12854;SUBSET OF;104699;35992
10901;SUBSET OF;104683;35993
10594;SUBSET OF;105761;35994
10594;SUBSET OF;104997;35995
12992;SUBSET OF;105708;35996
12992;SUBSET OF;105510;35997
12992;SUBSET OF;105758;35998
12443;SUBSET OF;104681;35999
10466;SUBSET OF;105033;36000
12516;SUBSET OF;104839;36002
11680;SUBSET OF;104797;36003
11680;SUBSET OF;104815;36004
12247;SUBSET OF;104813;36006
12247;SUBSET OF;104683;36007
11864;SUBSET OF;104826;36008
11864;SUBSET OF;104906;36009
12739;SUBSET OF;106175;36010
12739;SUBSET OF;104999;36011
12135;SUBSET OF;104696;36012
11636;SUBSET OF;104813;36013
11636;SUBSET OF;108123;36014
11636;SUBSET OF;104683;36015
10495;SUBSET OF;105071;36016
10495;SUBSET OF;105091;36017
10495;SUBSET OF;105056;36018
10495;SUBSET OF;104958;36019
10495;SUBSET OF;105115;36020
11076;SUBSET OF;105066;36021
19904;SUBSET OF;104910;36022
19904;SUBSET OF;104890;36023
19904;SUBSET OF;104893;36024
19658;SUBSET OF;105116;36025
11515;SUBSET OF;105761;36033
11515;SUBSET OF;104796;36035
11515;SUBSET OF;104874;36036
11213;SUBSET OF;104750;36037
11959;SUBSET OF;105734;36038
10364;SUBSET OF;104693;36039
10364;SUBSET OF;104680;36040
10604;SUBSET OF;104859;36042
11037;SUBSET OF;104814;36043
11037;SUBSET OF;105100;36044
10877;SUBSET OF;104731;36045
11940;SUBSET OF;104812;36046
11940;EQUIVALENT TO;107935;36047
12921;SUBSET OF;104959;36048
12378;SUBSET OF;104902;36049
12378;SUBSET OF;107906;36050
13049;SUBSET OF;104913;36051
13049;SUBSET OF;104877;36052
12412;SUBSET OF;105086;36053
10120;SUBSET OF;104697;36054
12000;SUBSET OF;105006;36055
12000;SUBSET OF;104919;36056
12000;SUBSET OF;104778;36057
11574;SUBSET OF;104846;36061
20111;SUBSET OF;107934;36062
11407;SUBSET OF;107928;36063
11407;SUBSET OF;104822;36064
11444;SUBSET OF;108408;36065
11236;SUBSET OF;104938;36066
100417;SUBSET OF;105079;36067
12983;SUBSET OF;107929;36069
12983;SUBSET OF;104697;36070
103767;SUBSET OF;104677;36071
10015;SUBSET OF;104726;36072
11396;SUBSET OF;104679;36074
11396;SUBSET OF;105761;36075
11396;SUBSET OF;105039;36076
11396;SUBSET OF;104738;36077
