name,target type,desc,component id
Melanocortin receptor 3,SINGLE PROTEIN,Target is a single protein chain,3090
Aminopeptidase B,SINGLE PROTEIN,Target is a single protein chain,1166
"Nitric-oxide synthase, brain",SINGLE PROTEIN,Target is a single protein chain,1888
Matrix metalloproteinase 15,SINGLE PROTEIN,Target is a single protein chain,1294
Metabotropic glutamate receptor 6,SINGLE PROTEIN,Target is a single protein chain,2159
Calcitonin receptor,SINGLE PROTEIN,Target is a single protein chain,545
Calpain small subunit 1,SINGLE PROTEIN,Target is a single protein chain,546
Proenkephalin B,SINGLE PROTEIN,Target is a single protein chain,568
Glycine transporter 1,SINGLE PROTEIN,Target is a single protein chain,2873
GABA transporter 3,SINGLE PROTEIN,Target is a single protein chain,3509
Squalene synthetase,SINGLE PROTEIN,Target is a single protein chain,1659
Voltage-gated potassium channel subunit Kv7.4,SINGLE PROTEIN,Target is a single protein chain,1896
"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",SINGLE PROTEIN,Target is a single protein chain,3244
Phospholipase A2 group 1VB,SINGLE PROTEIN,Target is a single protein chain,2455
GABA receptor alpha-4 subunit,SINGLE PROTEIN,Target is a single protein chain,813
Muscle glycogen synthase,SINGLE PROTEIN,Target is a single protein chain,2319
Hormone sensitive lipase,SINGLE PROTEIN,Target is a single protein chain,1910
Squalene monooxygenase,SINGLE PROTEIN,Target is a single protein chain,2560
Lanosterol synthase,SINGLE PROTEIN,Target is a single protein chain,5022
Muscle glycogen phosphorylase,SINGLE PROTEIN,Target is a single protein chain,1847
Aldose reductase,SINGLE PROTEIN,Target is a single protein chain,2876
Somatostatin receptor 3,SINGLE PROTEIN,Target is a single protein chain,363
Matrix metalloproteinase 11,SINGLE PROTEIN,Target is a single protein chain,1197
Histamine H2 receptor,SINGLE PROTEIN,Target is a single protein chain,586
Histamine H3 receptor,SINGLE PROTEIN,Target is a single protein chain,1584
Aldehyde reductase,SINGLE PROTEIN,Target is a single protein chain,587
Peptidyl-glycine alpha-amidating monooxygenase ,SINGLE PROTEIN,Target is a single protein chain,883
Nuclear factor of activated T-cells cytoplasmic 1 ,SINGLE PROTEIN,Target is a single protein chain,2196
Subtilisin/kexin type 5,SINGLE PROTEIN,Target is a single protein chain,4956
Cytochrome P450 2D6,SINGLE PROTEIN,Target is a single protein chain,2197
Glutathione S-transferase theta 1,SINGLE PROTEIN,Target is a single protein chain,483
Serine/threonine-protein kinase mTOR,SINGLE PROTEIN,Target is a single protein chain,1172
Dual specificity mitogen-activated protein kinase kinase 1,SINGLE PROTEIN,Target is a single protein chain,1907
Hexokinase type II ,SINGLE PROTEIN,Target is a single protein chain,976
