building name,street number,street name,street suffix,rooms
PIERCE LABORATORY,33,MASSACHUSETTS,AVE,407
PIERCE LABORATORY,77,MASSACHUSETTS,AVE,407
PIERCE LABORATORY,MEM106,,,407
PIERCE LABORATORY,33,MASSACHUSETTS,AVE,407
BUILDING 2,182,MEMORIAL,DR,355
BUILDING 2,77,MASSACHUSETTS,AVE,355
BUILDING 2,MEM106,,,355
BUILDING 2,182,MEMORIAL,DR,355
MACLAURIN BUILDINGS (3),33,MASSACHUSETTS,AVE,547
MACLAURIN BUILDINGS (3),77,MASSACHUSETTS,AVE,547
MACLAURIN BUILDINGS (3),MEM106,,,547
MACLAURIN BUILDINGS (3),33,MASSACHUSETTS,AVE,547
MACLAURIN BUILDINGS (4),182,MEMORIAL,DR,481
MACLAURIN BUILDINGS (4),77,MASSACHUSETTS,AVE,481
MACLAURIN BUILDINGS (4),MEM106,,,481
MACLAURIN BUILDINGS (4),182,MEMORIAL,DR,481
PRATT SCHOOL,55,MASSACHUSETTS,AVE,271
PRATT SCHOOL,77,MASSACHUSETTS,AVE,271
PRATT SCHOOL,MEM106,,,271
PRATT SCHOOL,55,MASSACHUSETTS,AVE,271
EASTMAN LABORATORIES,182,MEMORIAL,DR,312
EASTMAN LABORATORIES,77,MASSACHUSETTS,AVE,312
EASTMAN LABORATORIES,MEM106,,,312
EASTMAN LABORATORIES,182,MEMORIAL,DR,312
SOLVENT STORAGE,182,MEMORIAL,DR,4
SOLVENT STORAGE,77,MASSACHUSETTS,AVE,4
SOLVENT STORAGE,MEM106,,,4
SOLVENT STORAGE,182,MEMORIAL,DR,4
BUILDING 6C,182,MEMORIAL,DR,118
BUILDING 6C,77,MASSACHUSETTS,AVE,118
BUILDING 6C,182,MEMORIAL,DR,118
WILLIAM BARTON ROGERS BUILDING,77,MASSACHUSETTS,AVE,325
WILLIAM BARTON ROGERS BUILDING,77,MASSACHUSETTS,AVE,325
WILLIAM BARTON ROGERS BUILDING,MEM106,,,325
WILLIAM BARTON ROGERS BUILDING,77,MASSACHUSETTS,AVE,325
