Year,Country,Education level,Gender ratio,Percentage women
2005,Northern Africa,Ratio of girls to boys in primary education,0.93,10.8
2005,Northern Africa,Ratio of girls to boys in secondary education,0.99,10.8
2005,Northern Africa,Ratio of girls to boys in upper secondary education,1.07,10.8
2010,Northern Africa,Ratio of girls to boys in primary education,0.95,13.2
2010,Northern Africa,Ratio of girls to boys in secondary education,0.98,13.2
2010,Northern Africa,Ratio of girls to boys in upper secondary education,1.07,13.2
2015,Northern Africa,Ratio of girls to boys in primary education,0.97,24.6
2015,Northern Africa,Ratio of girls to boys in secondary education,0.99,24.6
2015,Northern Africa,Ratio of girls to boys in upper secondary education,1.06,24.6
2018,Northern Africa,Ratio of girls to boys in primary education,0.97,22.6
2018,Northern Africa,Ratio of girls to boys in secondary education,1.0,22.6
2018,Northern Africa,Ratio of girls to boys in upper secondary education,1.07,22.6
2019,Northern Africa,Ratio of girls to boys in primary education,0.98,22.7
2019,Northern Africa,Ratio of girls to boys in secondary education,1.01,22.7
2019,Northern Africa,Ratio of girls to boys in upper secondary education,1.09,22.7
2020,Northern Africa,Ratio of girls to boys in primary education,0.98,20.1
2020,Northern Africa,Ratio of girls to boys in secondary education,1.01,20.1
2020,Northern Africa,Ratio of girls to boys in upper secondary education,1.1,20.1
2005,Sub-Saharan Africa,Ratio of girls to boys in primary education,0.88,14.4
2005,Sub-Saharan Africa,Ratio of girls to boys in secondary education,0.78,14.4
2005,Sub-Saharan Africa,Ratio of girls to boys in upper secondary education,0.78,14.4
2010,Sub-Saharan Africa,Ratio of girls to boys in primary education,0.93,18.4
2010,Sub-Saharan Africa,Ratio of girls to boys in secondary education,0.82,18.4
2010,Sub-Saharan Africa,Ratio of girls to boys in upper secondary education,0.78,18.4
2015,Sub-Saharan Africa,Ratio of girls to boys in primary education,0.96,22.6
2015,Sub-Saharan Africa,Ratio of girls to boys in secondary education,0.86,22.6
2015,Sub-Saharan Africa,Ratio of girls to boys in upper secondary education,0.81,22.6
2018,Sub-Saharan Africa,Ratio of girls to boys in primary education,0.96,23.6
2018,Sub-Saharan Africa,Ratio of girls to boys in secondary education,0.89,23.6
2018,Sub-Saharan Africa,Ratio of girls to boys in upper secondary education,0.84,23.6
2019,Sub-Saharan Africa,Ratio of girls to boys in primary education,0.96,23.9
2019,Sub-Saharan Africa,Ratio of girls to boys in secondary education,0.89,23.9
2019,Sub-Saharan Africa,Ratio of girls to boys in upper secondary education,0.85,23.9
2020,Sub-Saharan Africa,Ratio of girls to boys in primary education,0.96,24.3
2020,Sub-Saharan Africa,Ratio of girls to boys in secondary education,0.89,24.3
2020,Sub-Saharan Africa,Ratio of girls to boys in upper secondary education,0.86,24.3
2005,Northern America,Ratio of girls to boys in primary education,0.99,17.5
2005,Northern America,Ratio of girls to boys in secondary education,1.01,17.5
2005,Northern America,Ratio of girls to boys in upper secondary education,1.05,17.5
2010,Northern America,Ratio of girls to boys in primary education,1.0,19.0
2010,Northern America,Ratio of girls to boys in secondary education,1.01,19.0
2010,Northern America,Ratio of girls to boys in upper secondary education,1.02,19.0
2015,Northern America,Ratio of girls to boys in primary education,1.0,21.8
2015,Northern America,Ratio of girls to boys in secondary education,1.01,21.8
2015,Northern America,Ratio of girls to boys in upper secondary education,1.02,21.8
2018,Northern America,Ratio of girls to boys in primary education,1.0,22.8
2018,Northern America,Ratio of girls to boys in secondary education,0.99,22.8
2018,Northern America,Ratio of girls to boys in upper secondary education,0.99,22.8
2019,Northern America,Ratio of girls to boys in primary education,1.01,25.0
2019,Northern America,Ratio of girls to boys in secondary education,0.99,25.0
2019,Northern America,Ratio of girls to boys in upper secondary education,0.98,25.0
2020,Northern America,Ratio of girls to boys in primary education,1.01,25.9
2020,Northern America,Ratio of girls to boys in secondary education,0.99,25.9
2020,Northern America,Ratio of girls to boys in upper secondary education,0.98,25.9
2005,Latin America & the Caribbean,Ratio of girls to boys in primary education,0.97,19.0
2005,Latin America & the Caribbean,Ratio of girls to boys in secondary education,1.07,19.0
2005,Latin America & the Caribbean,Ratio of girls to boys in upper secondary education,1.12,19.0
2010,Latin America & the Caribbean,Ratio of girls to boys in primary education,0.97,22.7
2010,Latin America & the Caribbean,Ratio of girls to boys in secondary education,1.08,22.7
2010,Latin America & the Caribbean,Ratio of girls to boys in upper secondary education,1.16,22.7
2015,Latin America & the Caribbean,Ratio of girls to boys in primary education,0.98,27.4
2015,Latin America & the Caribbean,Ratio of girls to boys in secondary education,1.05,27.4
2015,Latin America & the Caribbean,Ratio of girls to boys in upper secondary education,1.11,27.4
2018,Latin America & the Caribbean,Ratio of girls to boys in primary education,0.99,29.5
2018,Latin America & the Caribbean,Ratio of girls to boys in secondary education,1.04,29.5
2018,Latin America & the Caribbean,Ratio of girls to boys in upper secondary education,1.1,29.5
2019,Latin America & the Caribbean,Ratio of girls to boys in primary education,0.98,31.6
2019,Latin America & the Caribbean,Ratio of girls to boys in secondary education,1.05,31.6
2019,Latin America & the Caribbean,Ratio of girls to boys in upper secondary education,1.1,31.6
2020,Latin America & the Caribbean,Ratio of girls to boys in primary education,0.99,32.1
2020,Latin America & the Caribbean,Ratio of girls to boys in secondary education,1.05,32.1
