year,country,ratio
2005,"Total, all countries or areas",0.95
2005,Northern Africa,0.95
2005,Sub-Saharan Africa,0.95
2005,Eastern Africa,0.95
2005,Middle Africa,0.95
2005,Southern Africa,0.95
2005,Western Africa,0.95
2005,Northern America,0.95
2005,Latin America & the Caribbean,0.95
2005,Caribbean,0.95
2005,Central America,0.95
2005,South America,0.95
2005,Asia,0.95
2005,Central Asia,0.95
2005,Eastern Asia,0.95
2005,South-eastern Asia,0.95
2005,Southern Asia,0.95
2005,Western Asia,0.95
2005,Caucasus and Central Asia,0.95
2005,Europe,0.95
2005,Eastern Europe,0.95
2005,Northern Europe,0.95
2005,Southern Europe,0.95
2005,Western Europe,0.95
2005,Oceania,0.95
2005,Australia and New Zealand,0.95
2005,Melanesia,0.95
2005,Micronesia,0.95
2005,Polynesia,0.95
2005,Albania,0.95
2005,Algeria,0.95
2005,Andorra,0.95
2005,Angola,0.95
2005,Antigua and Barbuda,0.95
2005,Argentina,0.95
2005,Armenia,0.95
2005,Australia,0.95
2005,Austria,0.95
2005,Azerbaijan,0.95
2005,Bahamas,0.95
2005,Bahrain,0.95
2005,Bangladesh,0.95
2005,Barbados,0.95
2005,Belarus,0.95
2005,Belgium,0.95
2005,Belize,0.95
2005,Benin,0.95
2005,Bhutan,0.95
2005,Bolivia (Plurin. State of),0.95
2005,Bosnia and Herzegovina,0.95
2005,Botswana,0.95
2005,Brazil,0.95
2005,Bulgaria,0.95
2005,Burkina Faso,0.95
2005,Burundi,0.95
2005,Cabo Verde,0.95
2005,Cambodia,0.95
2005,Cameroon,0.95
2005,Canada,0.95
2005,Chad,0.95
2005,Chile,0.95
2005,China,0.95
2005,Colombia,0.95
2005,Comoros,0.95
2005,Congo,0.95
2005,Costa Rica,0.95
2005,Côte d’Ivoire,0.95
2005,Croatia,0.95
2005,Cuba,0.95
2005,Cyprus,0.95
2005,Czechia,0.95
2005,Dem. People's Rep. Korea,0.95
2005,Dem. Rep. of the Congo,0.95
2005,Denmark,0.95
2005,Djibouti,0.95
2005,Dominica,0.95
2005,Dominican Republic,0.95
2005,Ecuador,0.95
2005,El Salvador,0.95
2005,Equatorial Guinea,0.95
2005,Eritrea,0.95
2005,Estonia,0.95
2005,Eswatini,0.95
2005,Ethiopia,0.95
2005,Fiji,0.95
2005,Finland,0.95
2005,France,0.95
2005,Gabon,0.95
2005,Gambia,0.95
2005,Georgia,0.95
2005,Germany,0.95
2005,Ghana,0.95
2005,Greece,0.95
2005,Grenada,0.95
2005,Guatemala,0.95
2005,Guinea,0.95
2005,Guinea-Bissau,0.95
2005,Guyana,0.95
2005,Haiti,0.95
2005,Honduras,0.95
