name,target type,desc,component id
Maltase-glucoamylase,SINGLE PROTEIN,434,434
Sulfonylurea receptor 2,SINGLE PROTEIN,294,294
Phosphodiesterase 5A,SINGLE PROTEIN,124,124
Voltage-gated T-type calcium channel alpha-1H subunit,SINGLE PROTEIN,167,167
Nicotinic acetylcholine receptor alpha subunit,SINGLE PROTEIN,198,198
Dihydrofolate reductase,SINGLE PROTEIN,396,396
Dihydrofolate reductase,SINGLE PROTEIN,103,103
Tyrosine-protein kinase ABL,SINGLE PROTEIN,173,173
Epidermal growth factor receptor erbB1,SINGLE PROTEIN,147,147
DNA-directed RNA polymerase beta chain,SINGLE PROTEIN,158,158
Thrombin,SINGLE PROTEIN,92,92
Plasminogen,SINGLE PROTEIN,93,93
Beta-lactamase TEM,SINGLE PROTEIN,405,405
Adenosine deaminase,SINGLE PROTEIN,223,223
Carbonic anhydrase II,SINGLE PROTEIN,94,94
Antithrombin-III,SINGLE PROTEIN,273,273
Penicillin-binding protein 1A,SINGLE PROTEIN,110,110
Estrogen receptor alpha,SINGLE PROTEIN,410,410
Neuraminidase,SINGLE PROTEIN,391,391
Influenza virus A matrix protein M2,SINGLE PROTEIN,392,392
Plasma kallikrein,SINGLE PROTEIN,331,331
HMG-CoA reductase,SINGLE PROTEIN,312,312
Glucocorticoid receptor,SINGLE PROTEIN,371,371
Human herpesvirus 1 DNA polymerase,SINGLE PROTEIN,188,188
Thymidylate synthase,SINGLE PROTEIN,276,276
Aldehyde dehydrogenase,SINGLE PROTEIN,254,254
Cytochrome P450 11A1,SINGLE PROTEIN,370,370
Tubulin beta-2 chain,SINGLE PROTEIN,154,154
Fibronectin receptor beta,SINGLE PROTEIN,6,6
Insulin receptor,SINGLE PROTEIN,304,304
Progesterone receptor,SINGLE PROTEIN,4847,4847
DNA gyrase subunit B,SINGLE PROTEIN,123,123
Epoxide hydrolase 1,SINGLE PROTEIN,291,291
Tyrosine 3-hydroxylase,SINGLE PROTEIN,292,292
Thyroid peroxidase,SINGLE PROTEIN,139,139
Alcohol dehydrogenase alpha chain,SINGLE PROTEIN,293,293
Trypsin I,SINGLE PROTEIN,95,95
Beta-2 adrenergic receptor,SINGLE PROTEIN,213,213
D-alanylalanine synthetase,SINGLE PROTEIN,280,280
Penicillin-binding protein 2,SINGLE PROTEIN,140,140
Muscarinic acetylcholine receptor M2,SINGLE PROTEIN,364,364
Mineralocorticoid receptor,SINGLE PROTEIN,324,324
Integrin alpha-IIb,SINGLE PROTEIN,144,144
Beta-1 adrenergic receptor,SINGLE PROTEIN,185,185
Serotonin 1a (5-HT1a) receptor,SINGLE PROTEIN,266,266
Alpha-2a adrenergic receptor,SINGLE PROTEIN,180,180
DNA gyrase subunit A,SINGLE PROTEIN,166,166
DNA polymerase alpha subunit,SINGLE PROTEIN,125,125
Arachidonate 5-lipoxygenase,SINGLE PROTEIN,168,168
Androgen Receptor,SINGLE PROTEIN,187,187
Retinoic acid receptor alpha,SINGLE PROTEIN,395,395
Cytochrome P450 51,SINGLE PROTEIN,71,71
Thyroid hormone receptor alpha,SINGLE PROTEIN,169,169
Growth hormone receptor,SINGLE PROTEIN,299,299
Muscarinic acetylcholine receptor M1,SINGLE PROTEIN,170,170
DNA topoisomerase I,SINGLE PROTEIN,72,72
DNA topoisomerase II alpha,SINGLE PROTEIN,100,100
Vitamin D receptor,SINGLE PROTEIN,300,300
Cytochrome P450 19A1,SINGLE PROTEIN,301,301
Inosine-5'-monophosphate dehydrogenase 2,SINGLE PROTEIN,333,333
Angiotensin-converting enzyme,SINGLE PROTEIN,102,102
Dihydrofolate reductase,SINGLE PROTEIN,260,260
Farnesyl diphosphate synthase,SINGLE PROTEIN,73,73
Dopamine D2 receptor,SINGLE PROTEIN,129,129
Tyrosinase,SINGLE PROTEIN,296,296
GABA receptor alpha-1 subunit,SINGLE PROTEIN,23,23
Cytochrome P450 11B1,SINGLE PROTEIN,221,221
Pancreatic lipase,SINGLE PROTEIN,108,108
Thyroid stimulating hormone receptor,SINGLE PROTEIN,286,286
Steroid 5-alpha-reductase 1,SINGLE PROTEIN,78,78
FK506-binding protein 1A,SINGLE PROTEIN,217,217
Myeloid cell surface antigen CD33 ,SINGLE PROTEIN,142,142
DOPA decarboxylase,SINGLE PROTEIN,143,143
Inosine-5'-monophosphate dehydrogenase 1,SINGLE PROTEIN,118,118
Monoamine oxidase A,SINGLE PROTEIN,274,274
Cannabinoid CB1 receptor,SINGLE PROTEIN,172,172
Dopamine D1 receptor,SINGLE PROTEIN,397,397
Ryanodine receptor 1,SINGLE PROTEIN,152,152
Dopamine D4 receptor,SINGLE PROTEIN,174,174
Catechol O-methyltransferase,SINGLE PROTEIN,356,356
Acetylcholinesterase,SINGLE PROTEIN,357,357
Luteinizing hormone/Choriogonadotropin receptor,SINGLE PROTEIN,161,161
Cyclooxygenase-1,SINGLE PROTEIN,162,162
Cyclophilin B,SINGLE PROTEIN,435,435
Ribonucleoside-diphosphate reductase M1 chain,SINGLE PROTEIN,128,128
Follicle stimulating hormone receptor,SINGLE PROTEIN,358,358
Norepinephrine transporter,SINGLE PROTEIN,436,436
Histamine H2 receptor,SINGLE PROTEIN,262,262
