building name,street number,street name,street suffix,rooms
MACLAURIN BUILDINGS (3),33,MASSACHUSETTS,AVE,547
MACLAURIN BUILDINGS (3),77,MASSACHUSETTS,AVE,547
MACLAURIN BUILDINGS (3),MEM106,,,547
MACLAURIN BUILDINGS (3),33,MASSACHUSETTS,AVE,547
WALKER MEMORIAL,142,MEMORIAL,DR,199
WALKER MEMORIAL,77,MASSACHUSETTS,AVE,199
WALKER MEMORIAL,MEM106,,,199
WALKER MEMORIAL,142,MEMORIAL,DR,199
WILLIAM BARTON ROGERS BUILDING,77,MASSACHUSETTS,AVE,325
WILLIAM BARTON ROGERS BUILDING,77,MASSACHUSETTS,AVE,325
WILLIAM BARTON ROGERS BUILDING,MEM106,,,325
WILLIAM BARTON ROGERS BUILDING,77,MASSACHUSETTS,AVE,325
GRAY HOUSE,111,MEMORIAL,DR,139
GRAY HOUSE,111,MEMORIAL,DR,139
GRAY HOUSE,MEM106,,,139
GRAY HOUSE,111,MEMORIAL,DR,139
HAYDEN MEMORIAL LIBRARY (S),160,MEMORIAL,DR,119
HAYDEN MEMORIAL LIBRARY (S),160,MEMORIAL,DR,119
GUGGENHEIM LABORATORY,125,MASSACHUSETTS,AVE,169
GUGGENHEIM LABORATORY,77,MASSACHUSETTS,AVE,169
GUGGENHEIM LABORATORY,MEM106,,,169
GUGGENHEIM LABORATORY,125,MASSACHUSETTS,AVE,169
EG&G EDUCATION CENTER,50,VASSAR,ST,62
EG&G EDUCATION CENTER,77,MASSACHUSETTS,AVE,62
EG&G EDUCATION CENTER,MEM106,,,62
EG&G EDUCATION CENTER,50,VASSAR,ST,62
FAIRCHILD BUILDING (38),50,VASSAR,ST,328
FAIRCHILD BUILDING (38),77,MASSACHUSETTS,AVE,328
FAIRCHILD BUILDING (38),MEM106,,,328
FAIRCHILD BUILDING (38),50,VASSAR,ST,328
KOCH BIOLOGY BUILDING,31,AMES,ST,971
KOCH BIOLOGY BUILDING,77,MASSACHUSETTS,AVE,971
KOCH BIOLOGY BUILDING,AME31,,,971
KOCH BIOLOGY BUILDING,31,AMES,ST,971
MUDD BUILDING,40,AMES,ST,341
MUDD BUILDING,77,MASSACHUSETTS,AVE,341
MUDD BUILDING,MAI364,,,341
