building name,street number,street name,street suffix,rooms
GUGGENHEIM LABORATORY,169,VASSAR,ST,169
700 TECHNOLOGY SQUARE,75,AMHERST,ST,75
ROTCH LIBRARY EXTENSION,75,AMHERST,ST,75
MACGREGOR HOUSE (J),75,AMHERST,ST,75
BATES LINAC: WAREHOUSE #3,13,AUDREY,ST,13
NEW HOUSE,13,AUDREY,ST,13
BUILDING W53C,1,SUMMER,ST,1
BUILDING W53C,1,AMHERST,ST,1
BUILDING W53C,1,BROADWAY,,1
BUILDING W53C,1,MAIN,ST,1
BUILDING W53C,1,ROGERS,ST,1
BUILDING W53C,1,CHARLES,PARK,1
BUILDING W53C,1,STATE,ST,1
BUILDING W53C,1,KENDALL,SQ,1
BUILDING NW12A,1,SUMMER,ST,1
BUILDING NW12A,1,AMHERST,ST,1
BUILDING NW12A,1,BROADWAY,,1
BUILDING NW12A,1,MAIN,ST,1
BUILDING NW12A,1,ROGERS,ST,1
BUILDING NW12A,1,CHARLES,PARK,1
BUILDING NW12A,1,STATE,ST,1
BUILDING NW12A,1,KENDALL,SQ,1
ANNEX 6 TRAILER,1,SUMMER,ST,1
ANNEX 6 TRAILER,1,AMHERST,ST,1
ANNEX 6 TRAILER,1,BROADWAY,,1
ANNEX 6 TRAILER,1,MAIN,ST,1
ANNEX 6 TRAILER,1,ROGERS,ST,1
ANNEX 6 TRAILER,1,CHARLES,PARK,1
ANNEX 6 TRAILER,1,STATE,ST,1
ANNEX 6 TRAILER,1,KENDALL,SQ,1
CARR INDOOR TENNIS FACILITY(SVC),1,SUMMER,ST,1
CARR INDOOR TENNIS FACILITY(SVC),1,AMHERST,ST,1
CARR INDOOR TENNIS FACILITY(SVC),1,BROADWAY,,1
CARR INDOOR TENNIS FACILITY(SVC),1,MAIN,ST,1
CARR INDOOR TENNIS FACILITY(SVC),1,ROGERS,ST,1
CARR INDOOR TENNIS FACILITY(SVC),1,CHARLES,PARK,1
CARR INDOOR TENNIS FACILITY(SVC),1,STATE,ST,1
CARR INDOOR TENNIS FACILITY(SVC),1,KENDALL,SQ,1
BUILDING 42 TUNNEL,1,SUMMER,ST,1
BUILDING 42 TUNNEL,1,AMHERST,ST,1
BUILDING 42 TUNNEL,1,BROADWAY,,1
BUILDING 42 TUNNEL,1,MAIN,ST,1
BUILDING 42 TUNNEL,1,ROGERS,ST,1
BUILDING 42 TUNNEL,1,CHARLES,PARK,1
BUILDING 42 TUNNEL,1,STATE,ST,1
BUILDING 42 TUNNEL,1,KENDALL,SQ,1
CARR INDOOR TENNIS FACILITY,1,SUMMER,ST,1
CARR INDOOR TENNIS FACILITY,1,AMHERST,ST,1
CARR INDOOR TENNIS FACILITY,1,BROADWAY,,1
CARR INDOOR TENNIS FACILITY,1,MAIN,ST,1
CARR INDOOR TENNIS FACILITY,1,ROGERS,ST,1
CARR INDOOR TENNIS FACILITY,1,CHARLES,PARK,1
CARR INDOOR TENNIS FACILITY,1,STATE,ST,1
CARR INDOOR TENNIS FACILITY,1,KENDALL,SQ,1
BALLOON HOUSE B,1,SUMMER,ST,1
BALLOON HOUSE B,1,AMHERST,ST,1
BALLOON HOUSE B,1,BROADWAY,,1
BALLOON HOUSE B,1,MAIN,ST,1
BALLOON HOUSE B,1,ROGERS,ST,1
BALLOON HOUSE B,1,CHARLES,PARK,1
BALLOON HOUSE B,1,STATE,ST,1
BALLOON HOUSE B,1,KENDALL,SQ,1
645 SUMMER STREET,1,SUMMER,ST,1
645 SUMMER STREET,1,AMHERST,ST,1
645 SUMMER STREET,1,BROADWAY,,1
645 SUMMER STREET,1,MAIN,ST,1
645 SUMMER STREET,1,ROGERS,ST,1
645 SUMMER STREET,1,CHARLES,PARK,1
645 SUMMER STREET,1,STATE,ST,1
645 SUMMER STREET,1,KENDALL,SQ,1
BUILDING W57A,1,SUMMER,ST,1
BUILDING W57A,1,AMHERST,ST,1
BUILDING W57A,1,BROADWAY,,1
BUILDING W57A,1,MAIN,ST,1
BUILDING W57A,1,ROGERS,ST,1
BUILDING W57A,1,CHARLES,PARK,1
BUILDING W57A,1,STATE,ST,1
BUILDING W57A,1,KENDALL,SQ,1
BUILDING W57,3,AMES,ST,3
BATES LINAC: WAREHOUSE #2,3,AMES,ST,3
BATES LINAC: WATER TOWER,3,AMES,ST,3
BATES LINAC: BARN,3,AMES,ST,3
BUILDING N16C,3,AMES,ST,3
BATES LINAC: WAREHOUSE #1,3,AMES,ST,3
WESTFORD OPTICS FACILITY (HAYSTACK),3,AMES,ST,3
MACGREGOR HOUSE (M),4,AMES,ST,4
BATES LINAC: NORTH EXPERIMENTAL HALL,4,AMES,ST,4
SOLVENT STORAGE,4,AMES,ST,4
BALLOON HOUSE A,4,AMES,ST,4
MASS GREEN HIGH PERFORMANCE COMPUTING CENTER,4,AMES,ST,4
PIERCE BOATHOUSE,34,CARLETON,ST,34
BATES LINAC: ADMINISTRATION BLDG,34,CARLETON,ST,34
SLOAN LABORATORIES,224,ALBANY,ST,224
ALUMNI HOUSES: WOOD,111,MEMORIAL,DR,111
BUILDING N16A,11,AUDREY,ST,11
WESTGATE (A),11,AUDREY,ST,11
FRANCIS BITTER MAGNET LAB (NW15),11,AUDREY,ST,11
BUILDING OC100,11,AUDREY,ST,11
BUILDING NW13,143,ALBANY,ST,143
ENDICOTT HOUSE,185,ALBANY,ST,185
