Year,Country,Education level,Gender ratio,Percentage women
2010,Southern Asia,Ratio of girls to boys in upper secondary education,0.9,0.9
2010,Western Asia,Ratio of girls to boys in upper secondary education,0.9,0.9
2010,India,Ratio of girls to boys in upper secondary education,0.9,0.9
2010,Sudan,Ratio of girls to boys in primary education,0.9,0.9
2010,Togo,Ratio of girls to boys in primary education,0.9,0.9
2018,Costa Rica,Ratio of girls to boys in upper secondary education,1.2,1.2
2018,Dominican Republic,Ratio of girls to boys in upper secondary education,1.2,1.2
2018,Philippines,Ratio of girls to boys in upper secondary education,1.2,1.2
2019,Dominica,Ratio of girls to boys in upper secondary education,1.2,1.2
2015,Honduras,Ratio of girls to boys in secondary education,1.2,1.2
2015,Samoa,Ratio of girls to boys in upper secondary education,1.2,1.2
2015,Sweden,Ratio of girls to boys in upper secondary education,1.2,1.2
2005,Saint Vincent & Grenadines,Ratio of girls to boys in primary education,0.9,0.9
