Country or Area ID, Country or Area, Year, Series Description, Date of Last Election, Footnote for Last Election Date, Percentage of Seats Held by Women, Additional Footnotes, Data Source
1,"Total, all countries or areas",2000,"Seats held by women in national parliament, as of February (%)",,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
1,"Total, all countries or areas",2005,"Seats held by women in national parliament, as of February (%)",,,15.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
1,"Total, all countries or areas",2010,"Seats held by women in national parliament, as of February (%)",,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
1,"Total, all countries or areas",2015,"Seats held by women in national parliament, as of February (%)",,,22.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
1,"Total, all countries or areas",2018,"Seats held by women in national parliament, as of February (%)",,,23.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
1,"Total, all countries or areas",2019,"Seats held by women in national parliament, as of February (%)",,,24.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
1,"Total, all countries or areas",2020,"Seats held by women in national parliament, as of February (%)",,,24.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
1,"Total, all countries or areas",2021,"Seats held by women in national parliament, as of February (%)",,,25.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
1,"Total, all countries or areas",2022,"Seats held by women in national parliament, as of February (%)",,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
15,Northern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,5.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
15,Northern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,10.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
